City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Umzimvubu,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
187,Kawalu,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
188,Kutum,SD,77.81,overcast clouds,12.35,29.25,حامد محمد نور
191,Sao Felix Do Xingu,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
194,Paradwip,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
195,Boa Vista,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
196,Gurupi,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
197,Inhambane,MZ,66.92,clear sky,-23.865,35.3833,Oceano
201,Maumere,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
202,Port Elizabeth,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
203,Sisophon,KH,77.38,overcast clouds,13.5859,102.9737,Pyramid Hotel
204,Ternate,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
205,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
206,Marsa Matruh,EG,77.94,clear sky,31.3525,27.2453,Beau Site
208,Maple Creek,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
209,Kadiri,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
210,Hami,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
212,Kushmurun,KZ,64.2,clear sky,47.9714,80.4392,ХАН
213,Turayf,SA,91.54,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
216,Grand River South East,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
218,Manbij,SY,82.36,clear sky,36.5281,37.9549,Manbej City Hotel
219,Clyde River,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
220,Borama,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
224,Port-Gentil,GA,82.4,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
226,Chico,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
228,Nemuro,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
229,Namatanai,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
230,Asosa,ET,60.17,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
232,Avera,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
233,Moanda,GA,82.4,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
234,Flagstaff,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
235,Acopiara,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
236,Aripuana,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Elko,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
238,Puqi,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
239,Petatlan,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
240,Gravelbourg,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
241,Yangjiang,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
242,Isangel,VU,78.69,broken clouds,-15.5333,167.1667,The Espiritu Hotel
244,Bandundu,CD,86.07,overcast clouds,-3.3167,17.3667,Coja Color
246,Norman Wells,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
247,Bethel,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
249,Hurghada,EG,77.94,clear sky,31.3525,27.2453,Beau Site
251,Lorengau,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
252,Carupano,VE,89.71,overcast clouds,10.0644,-72.545,hotel el markes
254,Mocuba,MZ,66.92,clear sky,-23.865,35.3833,Oceano
255,Bahar,IR,79.88,clear sky,37.4727,49.4622,هتل بیاچ
256,Bubaque,GW,80.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
259,Lincoln,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
261,Dhidhdhoo,MV,77.36,overcast clouds,-0.6,73.0833,Scoop Guest House
262,Viseu,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
263,Kontagora,NG,71.74,overcast clouds,9.2,12.4833,Muna Hotel
264,Attawapiskat,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
265,Fereydun Kenar,IR,79.88,clear sky,37.4727,49.4622,هتل بیاچ
266,Teluk Nibung,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
270,Bage,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
274,Kabo,CF,71.11,light rain,5.0314,25.1361,OCHA Office
275,Naze,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
276,Iqaluit,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
277,Riviere-Au-Renard,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
278,Safaga,EG,77.94,clear sky,31.3525,27.2453,Beau Site
279,Mogadishu,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
281,Vila Franca Do Campo,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
282,Marsabit,KE,64.44,broken clouds,2.3284,37.9899,Chicho Hotel
283,Dauphin,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
284,Agaro,ET,60.17,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
285,George,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
287,Nakhon Thai,TH,77.31,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
289,Sabha,LY,78.85,clear sky,31.7561,25.0865,بورتو بردية
290,Lompoc,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
294,Ponta Do Sol,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
296,Piacabucu,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
297,Patrocinio,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
298,Bambous Virieux,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
299,Iralaya,HN,83.28,scattered clouds,15.0,-83.2333,Iglesia morava renovada
300,Arlit,NE,94.57,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
301,Pitimbu,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
303,Ambilobe,MG,66.43,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
304,Lagoa,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
305,Atbasar,KZ,64.2,clear sky,47.9714,80.4392,ХАН
306,Sungaipenuh,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
310,Fiche,ET,60.17,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
311,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
312,Douglas,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
314,Kavarna,BG,67.35,broken clouds,43.4333,28.3333,Вила Алегра (Villa Allegra)
315,Paoua,CF,71.11,light rain,5.0314,25.1361,OCHA Office
317,Souillac,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
319,Aitape,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
320,Samarai,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
323,Domoni,KM,75.65,light rain,-12.2569,44.5319,Al Djadid
324,Aksu,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
327,Lom Sak,TH,77.31,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
328,Cuajinicuilapa,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
331,Chakrata,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
333,Saint-Jerome,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
335,Half Moon Bay,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
336,Itoman,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
339,Dicabisagan,PH,78.6,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
340,Maues,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
343,Kroya,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
345,Pemberton,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
346,Eyl,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
347,Guadalupe Y Calvo,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
350,Gotsu,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
352,Carndonagh,IE,67.1,scattered clouds,51.55,-9.2667,The West Cork Hotel
354,Concarneau,FR,80.89,few clouds,47.875,-3.9225,Brit Hotel de L' Océan
358,Sao Joao Da Barra,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
359,Canals,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
360,Maine-Soroa,NE,94.57,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
361,Tiruvottiyur,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
362,Palmer,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
363,Crowley,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
365,Urgut,UZ,82.49,clear sky,37.2242,67.2783,Hotel Sharq
367,Altay,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
368,Vangaindrano,MG,66.43,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
369,Adur,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
371,Kasangulu,CD,86.07,overcast clouds,-3.3167,17.3667,Coja Color
372,Owando,CG,79.07,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
373,Champerico,GT,93.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
374,Sohag,EG,77.94,clear sky,31.3525,27.2453,Beau Site
376,Levelland,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
377,Tarancon,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
380,Jacksonville,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
381,Phrai Bung,TH,77.31,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
382,Ridgecrest,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
384,Palabuhanratu,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
387,Inirida,CO,80.69,broken clouds,6.189,-67.4859,Casa Hotel Victoria
388,Chapais,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
