City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
115,Cayenne,GF,2022-07-15 04:25:58,4.9333,-52.3333,78.1,77.04,78.1,Clouds,broken clouds,1,75,2.3
116,Bandarbeyla,SO,2022-07-15 04:25:59,9.4942,50.8122,81.21,81.21,81.21,Clouds,overcast clouds,68,100,29.68
117,Vilhena,BR,2022-07-15 04:23:01,-12.7406,-60.1458,67.23,67.23,67.23,Clouds,broken clouds,53,74,3.38
118,Yatou,CN,2022-07-15 04:25:59,37.15,122.3833,86.0,86.0,86.0,Clouds,scattered clouds,53,40,1.23
119,Kidal,ML,2022-07-15 04:26:00,18.4411,1.4078,83.71,83.71,83.71,Clouds,scattered clouds,51,47,8.52
120,Georgetown,MY,2022-07-15 04:26:00,5.4112,100.3354,87.75,86.95,87.75,Clouds,few clouds,71,20,5.75
121,Puerto Rico,AR,2022-07-15 04:26:00,-26.796,-55.024,72.05,72.05,72.05,Rain,light rain,56,76,6.82
122,Kaitangata,NZ,2022-07-15 04:26:01,-46.2817,169.8464,40.51,40.51,40.51,Clouds,overcast clouds,96,100,7.56
123,Colares,PT,2022-07-15 04:26:01,38.7992,-9.4469,69.82,64.26,72.79,Clear,clear sky,70,1,4.0
124,Lagoa,PT,2022-07-15 04:26:02,39.05,-27.9833,68.49,68.49,68.49,Clouds,scattered clouds,90,27,14.83
125,Bambous Virieux,MU,2022-07-15 04:26:02,-20.3428,57.7575,66.45,66.45,71.22,Rain,light rain,88,75,3.44
126,Baracoa,CU,2022-07-15 04:26:03,20.3467,-74.4958,78.84,78.84,78.84,Clouds,overcast clouds,87,99,9.62
127,Coos Bay,US,2022-07-15 04:26:03,43.3665,-124.2179,56.73,55.92,58.32,Clear,clear sky,94,0,4.61
128,Kabansk,RU,2022-07-15 04:26:04,52.0486,106.6528,67.39,67.39,67.39,Clouds,broken clouds,56,84,9.95
129,Svetlogorsk,BY,2022-07-15 04:26:04,52.6333,29.7333,56.73,56.73,56.73,Clouds,broken clouds,82,67,3.36
130,Bilibino,RU,2022-07-15 04:26:05,68.0546,166.4372,63.64,63.64,63.64,Clouds,broken clouds,40,59,4.25
131,Seversk,RU,2022-07-15 04:26:06,56.6006,84.8864,64.24,60.93,66.09,Clouds,broken clouds,72,55,4.59
132,Hirara,JP,2022-07-15 04:26:06,24.8,125.2833,89.87,89.46,89.87,Clouds,broken clouds,74,75,17.27
133,Mahajanga,MG,2022-07-15 04:26:07,-15.7167,46.3167,64.42,64.42,64.42,Clear,clear sky,82,0,6.91
134,Paamiut,GL,2022-07-15 04:26:07,61.994,-49.6678,40.48,40.48,40.48,Rain,light rain,96,100,12.33
135,Marsa Matruh,EG,2022-07-15 04:26:07,31.3525,27.2453,71.8,71.8,71.8,Clouds,scattered clouds,68,40,10.36
136,Port-Cartier,CA,2022-07-15 04:26:08,50.0334,-66.8654,56.73,55.51,56.75,Clouds,overcast clouds,75,93,1.41
137,Tuktoyaktuk,CA,2022-07-15 04:26:08,69.4541,-133.0374,37.4,37.4,37.4,Clouds,overcast clouds,81,100,19.57
138,Filadelfia,US,2022-07-15 04:22:45,39.9523,-75.1638,71.83,66.2,75.92,Clear,clear sky,71,0,4.61
139,Shestakovo,RU,2022-07-15 04:26:09,56.4915,103.96,67.41,67.41,67.41,Rain,light rain,58,100,6.02
140,Sao Jose Da Coroa Grande,BR,2022-07-15 04:26:10,-8.8978,-35.1478,73.76,73.76,73.76,Clouds,scattered clouds,86,28,8.88
141,San Jeronimo,PE,2022-07-15 04:26:10,-11.9472,-75.2829,46.85,46.85,46.85,Clouds,scattered clouds,73,48,1.1
142,Alice Springs,AU,2022-07-15 04:26:11,-23.7,133.8833,65.75,65.75,65.75,Clear,clear sky,16,4,8.05
143,Bredasdorp,ZA,2022-07-15 04:26:11,-34.5322,20.0403,48.07,48.07,48.07,Clouds,few clouds,87,11,2.95
144,Nioro,GM,2022-07-15 04:26:12,13.35,-15.75,79.34,79.34,79.34,Rain,light rain,84,92,5.14
145,Arraial Do Cabo,BR,2022-07-15 04:26:13,-22.9661,-42.0278,70.63,70.63,70.63,Clear,clear sky,90,8,21.61
146,Narsaq,GL,2022-07-15 04:26:13,60.9167,-46.05,57.42,57.42,57.42,Clouds,overcast clouds,62,100,4.18
147,Bardstown,US,2022-07-15 04:22:37,37.8092,-85.4669,68.76,66.65,74.61,Clear,clear sky,85,0,0.0
148,Udala,ES,2022-07-15 04:26:14,43.0778,-2.5125,63.46,60.13,64.47,Clear,clear sky,86,10,2.1
149,Hasaki,JP,2022-07-15 04:26:14,35.7333,140.8333,77.4,77.4,79.29,Rain,light rain,84,100,8.41
150,Zatoka,UA,2022-07-15 04:26:15,46.0725,30.4654,73.63,73.63,73.63,Clear,clear sky,65,1,7.4
151,Sept-Iles,CA,2022-07-15 04:26:15,50.2001,-66.3821,57.04,55.83,57.06,Clouds,broken clouds,89,75,4.61
