City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,La Sarre,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
114,Ust-Ilimsk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
115,Larsnes,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
116,Tabiauea,KI,3.0707,172.7902,81.81,74,90,10.69,light rain
117,Lekoni,GA,-1.5843,14.2591,82.4,47,100,7.87,light rain
118,Barrow,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
119,Skibbereen,IE,51.55,-9.2667,67.1,90,37,2.28,scattered clouds
120,Rexburg,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
121,Mehamn,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
122,Paamiut,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
123,Barentu,ER,15.1139,37.5928,78.48,60,92,5.82,overcast clouds
124,San Juan,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
125,Caravelas,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
126,Virginia Beach,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
127,Kodiak,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
128,Christchurch,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
129,Illoqqortoormiut,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
130,Sioux Lookout,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
131,Narsaq,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
132,Garden City,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
133,Sharjah,AE,25.3573,55.4033,92.03,69,98,4.12,overcast clouds
134,Mahebourg,MU,-20.4081,57.7,67.24,66,82,20.69,broken clouds
135,Fairbanks,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
136,Mogok,MM,22.9167,96.5,66.6,96,99,3.29,overcast clouds
137,Harper,LR,4.375,-7.7169,75.54,80,99,11.41,light rain
138,Port Macquarie,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
139,Thompson,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
140,Khonuu,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
141,Rio Cuarto,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
142,Rio Grande,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
143,Inuvik,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
144,Kashi,CN,39.4547,75.9797,79.34,24,0,3.76,clear sky
145,Tiarei,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
146,Sigli,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
147,Hasaki,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
148,Maryville,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
149,Bilibino,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
150,Auki,SB,-8.103,156.8419,81.59,77,40,6.22,scattered clouds
151,Cidreira,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
152,Goderich,CA,43.7501,-81.7165,80.91,75,100,4.41,overcast clouds
153,Ayagoz,KZ,47.9714,80.4392,64.2,69,7,9.86,clear sky
154,Bandarbeyla,SO,9.4942,50.8122,76.32,80,9,38.45,clear sky
155,Hithadhoo,MV,-0.6,73.0833,77.36,84,100,20.49,overcast clouds
156,Shevchenkove,UA,49.6959,37.1735,59.27,81,69,5.61,broken clouds
